post_id,timestamp,group,text_len,has_images,durable_score,keep,reason,topics,cluster
708,"fév 28, 2026 8:22:09 pm",Españoles que realmente se ayudan en Suiza,1677,1,7.59,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
709,"mar 01, 2026 8:53:13 am",Españoles que realmente se ayudan en Suiza,4013,1,15.38,1,informational,Working in Switzerland; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
710,"mar 01, 2026 1:38:59 pm",Españoles que realmente se ayudan en Suiza,2377,1,9.92,1,informational,Cost of living; Swiss politics; Events and culture,Vida práctica: coste de vida
711,"mar 02, 2026 8:28:02 pm",Españoles que realmente se ayudan en Suiza,3925,1,15.08,1,informational,Immigration and permits; Working in Switzerland; Swiss politics,Trámites: permisos y residencia
712,"mar 03, 2026 8:22:33 am",Españoles que realmente se ayudan en Suiza,80,0,0.27,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
713,"mar 03, 2026 8:26:28 pm",Españoles que realmente se ayudan en Suiza,2875,1,11.58,1,informational,Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
714,"mar 04, 2026 8:15:02 am",Españoles que realmente se ayudan en Suiza,2767,1,11.22,1,informational,Swiss institutions; Working in Switzerland; Cost of living,Vida práctica: coste de vida
715,"mar 04, 2026 1:25:01 pm",Españoles que realmente se ayudan en Suiza,1864,1,8.21,1,informational,Health system,Salud: LAMal y sistema sanitario
716,"mar 05, 2026 7:21:05 am",Españoles que realmente se ayudan en Suiza,2805,1,11.35,1,informational,Immigration and permits; Working in Switzerland; Housing; Community life,Trámites: permisos y residencia
717,"mar 05, 2026 1:25:03 pm",Españoles que realmente se ayudan en Suiza,1905,1,8.35,1,informational,Working in Switzerland; Health system; Events and culture,Salud: LAMal y sistema sanitario
718,"mar 06, 2026 1:38:23 pm",Españoles que realmente se ayudan en Suiza,2609,1,10.70,1,informational,Cost of living; Health system,Salud: LAMal y sistema sanitario
719,"mar 06, 2026 8:24:03 pm",Españoles que realmente se ayudan en Suiza,1803,1,8.01,1,informational,Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
720,"mar 07, 2026 9:06:50 am",Españoles que realmente se ayudan en Suiza,2070,1,8.90,1,informational,Swiss institutions; Working in Switzerland; Housing; Local rules in Geneva,Vida local: Ginebra (normas y multas)
721,"mar 07, 2026 4:15:09 pm",Españoles que realmente se ayudan en Suiza,83,0,0.28,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
722,"mar 07, 2026 5:47:50 pm",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
723,"mar 07, 2026 5:47:50 pm",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
724,"mar 07, 2026 8:25:02 pm",Españoles que realmente se ayudan en Suiza,1904,1,8.35,1,informational,Housing,Vivienda: alquiler y contratos
725,"mar 08, 2026 8:40:02 am",Españoles que realmente se ayudan en Suiza,3147,1,12.49,1,informational,Swiss institutions; Working in Switzerland; Swiss politics,"Trabajo: empleo, contratos y derechos"
726,"mar 08, 2026 1:25:01 pm",Españoles que realmente se ayudan en Suiza,1767,1,7.89,1,informational,Working in Switzerland; Health system,Salud: LAMal y sistema sanitario
727,"mar 08, 2026 8:25:02 pm",Españoles que realmente se ayudan en Suiza,1526,1,7.09,1,informational,Swiss politics; Local rules in Geneva,Vida local: Ginebra (normas y multas)
728,"mar 09, 2026 8:25:43 am",Españoles que realmente se ayudan en Suiza,2173,1,9.24,1,informational,Swiss politics,Sistema suizo: política y democracia directa
729,"mar 09, 2026 1:23:56 pm",Españoles que realmente se ayudan en Suiza,1884,1,8.28,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
730,"mar 09, 2026 8:25:02 pm",Españoles que realmente se ayudan en Suiza,2855,1,11.52,1,informational,Immigration and permits; Working in Switzerland; Cost of living; Community life,Trámites: permisos y residencia
731,"mar 10, 2026 8:25:03 am",Españoles que realmente se ayudan en Suiza,1696,1,7.65,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
732,"mar 10, 2026 1:25:02 pm",Españoles que realmente se ayudan en Suiza,2200,1,9.33,1,informational,Working in Switzerland; Housing; Cost of living; Swiss politics,Vivienda: alquiler y contratos
733,"mar 10, 2026 8:25:02 pm",Españoles que realmente se ayudan en Suiza,1617,0,7.39,1,informational,Working in Switzerland; Housing,Vivienda: alquiler y contratos
734,"mar 11, 2026 8:25:01 am",Españoles que realmente se ayudan en Suiza,2548,1,10.49,1,informational,Health system; Swiss politics,Salud: LAMal y sistema sanitario
735,"mar 11, 2026 1:30:20 pm",Españoles que realmente se ayudan en Suiza,1702,1,7.67,1,informational,Swiss institutions; Working in Switzerland; Community life,"Trabajo: empleo, contratos y derechos"
736,"mar 11, 2026 8:25:02 pm",Españoles que realmente se ayudan en Suiza,2004,1,8.68,1,informational,Working in Switzerland; Housing,Vivienda: alquiler y contratos
